Sample ID,Taxon,rpkm
PS7,GCA-2731375,1804.06419582
PS7,Binataceae,6855.44394412
PS7,Rhizobiaceae,7396.66320286
PS7,Alteromonadaceae,2345.28345457
PS7,Palsa-1104,2525.68987415
PS7,Haloarculaceae,6855.44394412
PS7,Hyphomicrobiaceae,2706.09629373
PS7,J093,2886.50271331
PS7,UBA6429,6855.44394412
PS7,UBA11358,1804.06419582
PS7,JAHELT01,5051.3797483
PS7,Burkholderiaceae,5592.59900704
PS7,Haloferacaceae,2164.87703498
PS7,UBA9214,3066.90913289
PS7,Rhodobacteraceae,14973.73282531
PS7,JADFVX01,4870.97332871
PS7,CAJQPC01,1984.4706154
PS7,UBA2999,3968.9412308
PS7,JACTMU01,1804.06419582
PS7,Sedimenticolaceae,6133.81826579
PS7,S012-40,4329.75406997
PS7,UBA2385,2164.87703498
PS7,GCA-001735895,11906.82369241
PS7,JAKSDN01,1804.06419582
PS7,UBA8231,2886.50271331
PS7,Oleiphilaceae,2164.87703498
PS7,UBA828,3427.72197206
PS7,DAOVJZ01,2345.28345457
PS7,Rhodocyclaceae,1804.06419582
PS7,DSM-19610,3427.72197206
PS7,SZUA-229,5592.59900704
PS7,HK1,3066.90913289
PS7,Halieaceae,2886.50271331
PS7,Stappiaceae,3427.72197206
PS7,UBA4427,1984.4706154
PS7,unclassified,85151.83004272
